X_id,id,g_pnt_2,geo_shp,fenomen,taxonom,r_p_v_e,intnsdd,descrpc,fuente,cvegeo,alcaldi,entidad,area_m2,perim_m,perd_rt,intens_n,intns_nm,int2
15,84,"19.377592658,-99.1563039325","{""type"": ""Polygon"", ""coordinates"": [[[-99.15568302972848, 19.380544469642814], [-99.15503906203239, 19.38044192687513], [-99.15444516883794, 19.380347356502984], [-99.15379070293007, 19.38024313735403], [-99.1531394642917, 19.380137329149882], [-99.15328",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901400010628,Benito Jurez,Ciudad de Mxico,403840.985707,2691.8624778,5 aos,% de area inundable,100,5
149,1250,"19.4536355933,-99.0640881929","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.0633574798004, 19.45587681926639], [-99.06289132810424, 19.45598204707072], [-99.06276215584919, 19.45601120660463], [-99.0624131965162, 19.456089981040986], [-99.06197405624081, 19.456189110143175], [-99.0",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0900500012409,Gustavo A. Madero,Ciudad de Mxico,298498.42809,2657.14040963,5 aos,% de area inundable,100,5
150,1264,"19.552584163,-99.1302038891","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-99.12839819796504, 19.55071776525921], [-99.12857571028137, 19.550455657127337], [-99.12861199685543, 19.550393944766792], [-99.12877773850698, 19.550109886876154], [-99.12889710167613, 19.549897469393034], [-",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0900500012748,Gustavo A. Madero,Ciudad de Mxico,160183.977327,1789.78683009,5 aos,% de area inundable,0 a 25,1
16,273,"19.2948004811,-99.0380209762","{""type"": ""Polygon"", ""coordinates"": [[[-99.03534618553682, 19.293121260535], [-99.0362978495956, 19.293118624632672], [-99.03629435004072, 19.29280846612918], [-99.03711558203973, 19.292887404445597], [-99.03724752616155, 19.29291393460999], [-99.03786270",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901100010113,Tlhuac,Ciudad de Mxico,275652.653875,2415.96623685,5 aos,% de area inundable,100,5
17,264,"19.3675109095,-99.1973712799","{""type"": ""Polygon"", ""coordinates"": [[[-99.1986621643148, 19.36710145782553], [-99.19859369334142, 19.368557957114565], [-99.19735627377878, 19.368524621886422], [-99.19736775291612, 19.368237490310577], [-99.19692332765725, 19.368230269922478], [-99.1962",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901000010807,lvaro Obregn,Ciudad de Mxico,49967.6367631,956.141780185,5 aos,% de area inundable,0 a 25,1
18,248,"19.3025862964,-99.0470818801","{""type"": ""Polygon"", ""coordinates"": [[[-99.0522303800114, 19.30152365597392], [-99.05228402954423, 19.301553225578182], [-99.051609094049, 19.302423832822022], [-99.05000155318741, 19.304413235536355], [-99.04998950913975, 19.304428142565758], [-99.048447",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901100011338,Tlhuac,Ciudad de Mxico,311177.730683,3053.04193875,5 aos,% de area inundable,100,5
19,405,"19.3891124828,-99.2069590505","{""type"": ""Polygon"", ""coordinates"": [[[-99.2077117726779, 19.3898591856671], [-99.20709138143924, 19.389751240885225], [-99.20597882118342, 19.389556197795322], [-99.20623479952573, 19.388348421941988], [-99.20661439461756, 19.38843350838899], [-99.207921",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",090100001021A,lvaro Obregn,Ciudad de Mxico,24577.0463168,636.026981587,5 aos,% de area inundable,0 a 25,1
20,140,"19.242566309,-99.1676853074","{""type"": ""Polygon"", ""coordinates"": [[[-99.16430820414442, 19.235632124174124], [-99.1643962625718, 19.235621056551924], [-99.16447801147662, 19.235592174299995], [-99.16460447074628, 19.235522907962867], [-99.16469598357799, 19.23541753778981], [-99.1647",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901200011621,Tlalpan,Ciudad de Mxico,1461151.132,6038.29974379,5 aos,% de area inundable,0 a 25,1
21,110,"19.2474109042,-99.1329730087","{""type"": ""Polygon"", ""coordinates"": [[[-99.13511884483007, 19.245263846808307], [-99.13520362997969, 19.245271699241798], [-99.13533428889927, 19.245295346303926], [-99.13539961413726, 19.245300575469482], [-99.1354621430331, 19.245283381447777], [-99.135",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300011421,Xochimilco,Ciudad de Mxico,141590.666469,2335.11331499,5 aos,% de area inundable,0 a 25,1
22,114,"19.386072694,-99.1363179788","{""type"": ""Polygon"", ""coordinates"": [[[-99.1343962264556, 19.38453939257592], [-99.13480862115928, 19.384585848481525], [-99.13532172650864, 19.38465505033856], [-99.13588269842272, 19.384733494054025], [-99.13638819371695, 19.384800656006455], [-99.13693",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901400010331,Benito Jurez,Ciudad de Mxico,161889.032924,1671.43593141,5 aos,% de area inundable,100,5
23,117,"19.3968511136,-99.1324927771","{""type"": ""Polygon"", ""coordinates"": [[[-99.13143173085886, 19.395745654056082], [-99.1314771426629, 19.39555259003216], [-99.1316558994926, 19.394682668834086], [-99.1316883674072, 19.394523388708333], [-99.13213757637195, 19.394581875858947], [-99.132607",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901400010153,Benito Jurez,Ciudad de Mxico,132146.044995,1492.71999669,5 aos,% de area inundable,100,5
24,106,"19.2584622354,-99.1206817076","{""type"": ""Polygon"", ""coordinates"": [[[-99.12003504890194, 19.257714973181784], [-99.12037851744226, 19.25760414114965], [-99.12040408971295, 19.257517240550904], [-99.12066785417106, 19.256874249910453], [-99.1217941021932, 19.257788864485395], [-99.1218",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300010194,Xochimilco,Ciudad de Mxico,46474.0831754,891.432783477,5 aos,% de area inundable,100,5
25,173,"19.3814850719,-99.2121859799","{""type"": ""Polygon"", ""coordinates"": [[[-99.21199136643291, 19.379730798372808], [-99.2121314519247, 19.37961897549465], [-99.21226589912963, 19.379513253224463], [-99.2124156984285, 19.379394548456993], [-99.21255258262688, 19.379280846633215], [-99.21266",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901000011523,lvaro Obregn,Ciudad de Mxico,122196.607067,1860.58233378,5 aos,% de area inundable,0 a 25,1
26,178,"19.2907555273,-99.2396041442","{""type"": ""Polygon"", ""coordinates"": [[[-99.24277902807522, 19.289648723201832], [-99.24282461079507, 19.290171345706113], [-99.24299671381014, 19.291437319569518], [-99.24289717445484, 19.29167738767066], [-99.24283689540954, 19.291870611353158], [-99.242",Hidrometeorolgicos,Inundaciones,Peligro,Medio,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901200010500,Tlalpan,Ciudad de Mxico,415376.634088,3069.47716524,5 aos,% de area inundable,50 a 72,3
27,164,"19.2770137603,-99.1241965835","{""type"": ""Polygon"", ""coordinates"": [[[-99.11986591966243, 19.273248398024318], [-99.1201399288705, 19.272367016431154], [-99.12067313719602, 19.272608128371367], [-99.12121938357107, 19.272855127016104], [-99.12138302227966, 19.272929117839322], [-99.121",Hidrometeorolgicos,Inundaciones,Peligro,Muy Alto,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901300011065,Xochimilco,Ciudad de Mxico,461182.188193,3138.31248813,5 aos,% de area inundable,100,5
28,170,"19.3551925401,-99.2333172504","{""type"": ""Polygon"", ""coordinates"": [[[-99.23185383702533, 19.357333055745357], [-99.23132917079495, 19.356854784444185], [-99.23125715788004, 19.356707473714316], [-99.23105355979598, 19.356441823173252], [-99.2304719997913, 19.35564583534919], [-99.2303",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901000011650,lvaro Obregn,Ciudad de Mxico,147747.067312,2174.11434318,5 aos,% de area inundable,0 a 25,1
38,478,"19.3800347904,-99.1942503334","{""type"": ""Polygon"", ""coordinates"": [[[-99.19260606617762, 19.38302659131419], [-99.19277736673588, 19.382724965295687], [-99.19335851325543, 19.381695012653054], [-99.19337176684904, 19.381649640299717], [-99.19348294418901, 19.3812684354146], [-99.19354",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901000012146,lvaro Obregn,Ciudad de Mxico,62402.1984919,1443.24124639,5 aos,% de area inundable,0 a 25,1
29,190,"19.2808636014,-99.165275369","{""type"": ""Polygon"", ""coordinates"": [[[-99.16724934766265, 19.27828269049581], [-99.16730625224746, 19.278399606561134], [-99.16745044401934, 19.278628515101516], [-99.16763866260327, 19.278929686948313], [-99.16767378566514, 19.278982086739347], [-99.167",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",090120001102A,Tlalpan,Ciudad de Mxico,335403.998317,3028.53604842,5 aos,% de area inundable,0 a 25,1
30,333,"19.2647610549,-99.2021848756","{""type"": ""Polygon"", ""coordinates"": [[[-99.20761788574615, 19.262408007531718], [-99.2077476789362, 19.262433568807793], [-99.20785254669028, 19.262465032789017], [-99.20798722735974, 19.26258433284194], [-99.2090831965487, 19.263527908147733], [-99.20930",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901200011570,Tlalpan,Ciudad de Mxico,971697.381809,6251.71144319,5 aos,% de area inundable,0 a 25,1
31,349,"19.3700955438,-99.2104507881","{""type"": ""Polygon"", ""coordinates"": [[[-99.21285468888092, 19.368600914367573], [-99.21295910678127, 19.36849932895068], [-99.2131585403426, 19.36848514780712], [-99.21331390894883, 19.368539466274214], [-99.21275318337479, 19.37021732828218], [-99.212841",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901000012377,lvaro Obregn,Ciudad de Mxico,101160.5555,1915.70217773,5 aos,% de area inundable,0 a 25,1
32,347,"19.3671402008,-99.20299969","{""type"": ""Polygon"", ""coordinates"": [[[-99.20321697982261, 19.368259000111305], [-99.20314202846806, 19.368843897764265], [-99.20284100197838, 19.36871167413969], [-99.20271886591424, 19.368654199319185], [-99.20272690511804, 19.36818779021909], [-99.2024",Hidrometeorolgicos,Inundaciones,Peligro,Muy Bajo,"Anlisis del ndice de Inundabilidad de la CONAGUA para el  periodo de retorno de 5 aos, construido con diversos factores, en donde se calcula el porcentaje de rea inundable, en este caso por AGEB y se clasifica en los 5 niveles de peligro.","Direccin de Anlisis de Riesgo de la SPCGIR, 2019.",0901000010756,lvaro Obregn,Ciudad de Mxico,42462.4550975,1398.70807586,5 aos,% de area inundable,0 a 25,1
